word1,word2,jaccard_coef
exception,エクセプション,0.3333333333333333
ntp,時計,0.09090909090909091
oracle,postgresql,0.06896551724137931
ingress,入場,0.0625
oracle,買収,0.0625
syslog,ログメッセジ,0.05555555555555555
model,view,0.04743083003952569
crud,則,0.043478260869565216
ssd,デタストレジ,0.041666666666666664
oracle,sqlserver,0.038461538461538464
nat,networkaddresstranslation,0.03571428571428571
oracle,sqlite,0.03571428571428571
crud,純粋,0.03333333333333333
crud,クラッド,0.03125
infrastructure,础,0.030303030303030304
infrastructure,server,0.030303030303030304
infrastructure,务器,0.030303030303030304
infrastructure,サビスデスク,0.030303030303030304
infrastructure,ホテル,0.030303030303030304
ハンズオン,無理,0.02702702702702703
初心者,合格,0.025
model,ロジック,0.021739130434782608
ビルド,紹介,0.021505376344086023
引数,渡し,0.02127659574468085
nat,プライベトアドレス,0.02
nat,グロバルアドレス,0.02
クラスタリング,半,0.02
クラスタリング,教師,0.019867549668874173
備忘録,格闘,0.019801980198019802
infrastructure,基,0.0196078431372549
ssd,容量,0.019230769230769232
infrastructure,様子,0.019230769230769232
mecab,形態素,0.019230769230769232
備忘録,気まぐれ,0.018867924528301886
ハンズオン,和訳,0.016666666666666666
備忘録,次第,0.015151515151515152
備忘録,著者,0.013513513513513514
rfc,企画,0.013157894736842105
model,案,0.012987012987012988
マネジメント,人員,0.012987012987012988
ssd,フィルタ,0.012658227848101266
model,専念,0.012345679012345678
gcp,tazuregooglecomputeengine,0.012345679012345678
gcp,paas,0.012345679012345678
マネジメント,ロイヤリティ,0.012048192771084338
gcp,カバ,0.011764705882352941
gcp,upguard,0.011764705882352941
gcp,googledrive,0.011764705882352941
テスト,色,0.011507479861910242
exception,例外,0.011494252873563218
model,プロバイダ,0.011235955056179775
model,mvc,0.011152416356877323
備忘録,随時,0.011111111111111112
ntp,同期,0.011111111111111112
プログラム,実行,0.010966212211025488
model,ビジネス,0.010964912280701754
マネジメント,担当,0.010869565217391304
gcp,コンピュタセキュリティ,0.010869565217391304
バイナリ,当時,0.010752688172043012
テスト,バリエション,0.0107095046854083
コンパイル,人間,0.010688836104513063
nat,プライベト,0.010362694300518135
備忘録,認定,0.010101010101010102
マネジメント,売り上げ,0.009900990099009901
バイナリ,画期的,0.00980392156862745
ビルド,着目,0.009708737864077669
infrastructure,所感,0.009345794392523364
infrastructure,服務,0.009345794392523364
ntp,時刻,0.009259259259259259
gcp,タゲット,0.00909090909090909
ssd,価格,0.009009009009009009
ビルド,本番,0.008849557522123894
model,自由,0.00881057268722467
gcp,クラウドサビス,0.008771929824561403
コンパイル,ソスコド,0.008684863523573201
初心者,資格,0.008620689655172414
ビルド,ビルド,0.008403361344537815
ビルド,準備,0.008333333333333333
nat,グロ,0.008333333333333333
nat,バル,0.008333333333333333
コンパイル,ビルド,0.007889546351084813
infrastructure,服,0.007874015748031496
コンパイル,ファイル,0.007850834151128557
syslog,規格,0.007692307692307693
gcp,災害,0.007633587786259542
バイナリ,バンク,0.007633587786259542
プログラミング,言語,0.00757396449704142
nat,対,0.007518796992481203
crud,個々,0.007407407407407408
用語,説明,0.007331507817330624
model,最近,0.007272727272727273
マネジメント,計画,0.007246376811594203
gcp,saas,0.007194244604316547
oracle,代表,0.007194244604316547
gcp,youtube,0.0070921985815602835
model,別物,0.0070921985815602835
gcp,全般,0.007042253521126761
備忘録,日々,0.006944444444444444
model,則,0.006944444444444444
infrastructure,インフラ,0.006711409395973154
gcp,誤用,0.006711409395973154
model,純粋,0.006622516556291391
プログラム,領域,0.0064731267163593564
crud,体系,0.0064516129032258064
備忘録,過程,0.006329113924050633
crud,model,0.006329113924050633
model,template,0.006329113924050633
バイナリ,手続き,0.006329113924050633
コンパイル,マネジド,0.006279434850863423
プログラム,方式,0.0062547673531655225
マネジメント,拡大,0.006097560975609756
infrastructure,基礎,0.006024096385542169
ハンズオン,試験,0.005988023952095809
バイナリ,仲介,0.005952380952380952
用語,用語,0.005893909626719057
引数,本編,0.0058823529411764705
テスト,検証,0.005868544600938967
lambda,レス,0.005847953216374269
ハンズオン,把握,0.005847953216374269
物理,画像,0.0058309037900874635
コンパイル,リリス,0.005822416302765648
コンパイル,文法,0.005780346820809248
テスト,本番,0.005772005772005772
lambda,マネジド,0.005714285714285714
コンパイル,リンク,0.005703422053231939
備忘録,知識,0.005698005698005698
ビルド,一連,0.005633802816901409
ビルド,リポジトリ,0.0056179775280898875
crud,まとまり,0.00558659217877095
プログラム,メモリ,0.005561007523716062
crud,永続,0.005555555555555556
テスト,実施,0.005537098560354375
マネジメント,満足,0.0055248618784530384
テスト,変量,0.005427408412483039
テスト,環境,0.005370157268891446
初心者,認定,0.0053475935828877
プログラム,処理,0.005302638385928609
ssd,ディスク,0.005263157894736842
コンパイル,デプロイ,0.005244755244755245
rfc,発行,0.005154639175257732
ライブラリ,自然,0.0051440329218107
備忘録,試験,0.00510204081632653
ビルド,最近,0.00510204081632653
テスト,組み合わせ,0.005076142131979695
コンパイル,場所,0.005076142131979695
引数,透過,0.005050505050505051
バイナリ,研究所,0.005050505050505051
ハンズオン,課金,0.005025125628140704
テスト,多,0.0050062578222778474
model,役,0.005
model,加工,0.005
プログラム,要素,0.004944783253667381
プログラム,プログラム,0.004936530324400564
物理,衝突,0.004764173415912339
ライブラリ,実装,0.004761904761904762
model,レスポンス,0.0047169811320754715
コンパイル,完全,0.004689331770222743
テスト,テスト,0.0046875
マネジメント,専門,0.004608294930875576
テスト,パタン,0.0045871559633027525
rfc,群,0.0045871559633027525
crud,ルル,0.0045871559633027525
マネジメント,把握,0.0045662100456621
分析,購入,0.0045580657946888625
ビルド,リンク,0.004518072289156626
model,全般,0.0045045045045045045
テスト,実装,0.004500450045004501
